Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
209609,5,1,1,72,22,10251,5,13,1,28965,43152,1,8,46,73,22,63,2,50,1,25,1,1,2015-08-25,2018-11-02,2015-08-31,2018-10-16
210312,6,1,1,35,24,1002C,3,10,2,64000,71000,1,17,26,74,24,64,2,51,19,1,1,1,2015-09-02,2018-11-02,2015-09-02,2018-10-16
219112,4,2,1,73,11,90698,3,5,1,51907.68,54580.32,1,26,47,75,11,2,38,9,1,1,1,3,2016-01-25,2018-11-02,2016-01-25,2018-10-16
219112,4,1,1,73,11,90698,3,5,1,51907.68,54580.32,1,26,47,75,11,2,38,9,1,1,1,3,2016-01-25,2018-11-02,2016-01-25,2018-10-16
221045,7,2,1,74,26,13642,8,14,1,89383,134914,1,15,6,76,26,65,2,52,1,26,1,2,2015-10-30,2018-11-02,2015-10-30,2018-10-16
221045,7,1,1,74,26,13642,8,14,1,89383,134914,1,15,6,76,26,65,2,52,1,26,1,2,2015-10-30,2018-11-02,2015-10-30,2018-10-16
223736,2,1,1,67,38,31220,5,24,2,60673,91795,1,4,24,77,55,2,2,53,31,3,1,1,2015-11-30,2018-11-02,2015-11-30,2018-10-16
223736,2,2,1,67,38,31220,5,24,2,60673,91795,1,4,24,77,55,2,2,53,31,3,1,1,2015-11-30,2018-11-02,2015-11-30,2018-10-16
225490,2,2,1,75,5,20202,3,7,2,46466,56270,1,4,24,78,56,66,32,10,4,27,1,2,2015-12-14,2018-11-02,2015-12-14,2018-10-16
225490,2,1,1,75,5,20202,3,7,2,46466,56270,1,4,24,78,56,66,32,10,4,27,1,2,2015-12-14,2018-11-02,2015-12-14,2018-10-16
226044,6,1,1,76,22,10251,6,13,1,32888,50000,1,14,42,79,22,67,39,54,16,13,1,1,2015-12-21,2018-11-02,2015-12-21,2018-10-16
226045,6,1,1,77,39,12627,3,25,2,62260,92704,1,14,42,80,40,68,40,55,16,10,1,1,2015-12-17,2018-11-02,2015-12-17,2018-10-16
226791,2,2,1,78,39,12627,3,2,2,62260,74000,1,4,48,81,40,69,41,56,32,18,1,1,2015-12-29,2018-11-02,2016-01-05,2018-10-16
226791,2,1,1,78,39,12627,3,2,2,62260,74000,1,4,48,81,40,69,41,56,32,18,1,1,2015-12-29,2018-11-02,2015-12-29,2018-10-16
226791,2,1,1,78,39,12627,3,2,2,62260,74000,1,4,48,81,40,69,41,56,32,18,1,1,2015-12-29,2018-11-02,2015-12-29,2018-10-16
227159,2,2,1,79,5,20202,3,11,2,46466,56270,1,27,49,82,56,70,42,9,33,28,1,6,2016-01-05,2018-11-02,2016-01-05,2018-10-16
227159,2,1,1,79,5,20202,3,11,2,46466,56270,1,27,49,82,56,70,42,9,33,28,1,6,2016-01-05,2018-11-02,2016-01-05,2018-10-16
228550,9,2,9,80,53,10056,4,20,2,58675,95000,1,21,50,83,57,71,43,9,1,1,1,2,2016-01-22,2018-11-02,2016-09-30,2018-10-16
228550,9,1,9,80,53,10056,4,20,2,58675,95000,1,21,50,83,57,71,43,9,1,1,1,2,2016-01-22,2018-11-02,2016-09-30,2018-10-16
229124,5,2,1,81,54,51193,3,22,2,48900,69042,1,8,51,84,58,72,2,57,1,25,1,1,2016-01-21,2018-11-02,2016-02-03,2018-10-16
229124,5,1,1,81,54,51193,3,22,2,48900,69042,1,8,51,84,58,72,2,57,1,25,1,1,2016-01-21,2018-11-02,2016-02-03,2018-10-16
